ID,first_year,last_year
ASN00027021,1938,1995
ASN00027022,1949,1993
ASN00027042,1959,1994
ASN00027045,1750,2024
ASN00027054,1750,2023
ASN00027058,1750,2024
ASN00027073,1750,2023
ASN00027075,1750,2023
ASN00028004,1750,2024
ASN00028007,1907,2012
ASN00028008,1750,2023
ASN00029004,1890,2009
ASN00029008,1888,1991
ASN00029009,1888,1975
ASN00029012,1912,2014
ASN00029025,1965,2001
ASN00029028,1913,1951
ASN00029038,1750,2023
ASN00029039,1972,2013
ASN00029041,1908,2001
ASN00029058,1750,2023
ASN00029063,1750,2024
ASN00029077,1750,2024
ASN00029090,1968,2007
ASN00029125,1957,1971
ASN00029126,1965,2024
ASN00029127,1750,2023
ASN00029139,1750,2023
ASN00029141,1750,2023
ASN00029167,1750,2023
ASN00030018,1894,2007
ASN00030022,1750,2023
ASN00030024,1888,2001
ASN00030036,1913,1978
ASN00030045,1893,2020
ASN00030124,1750,2024
ASN00030161,1750,2024
ASN00031010,1889,2024
ASN00031011,1750,2023
ASN00031016,1907,1987
ASN00031017,1942,2013
ASN00031029,1957,1991
ASN00031034,1952,2011
ASN00031037,1750,2023
ASN00031052,1907,1968
ASN00031066,1952,1992
ASN00031083,1965,1997
ASN00031084,1968,1991
ASN00031108,1750,2023
ASN00031192,1993,2010
ASN00031209,1750,2023
ASN00031210,1750,2023
ASN00031213,1750,2023
ASN00032004,1907,2016
ASN00032005,1927,1987
ASN00032025,1908,2020
ASN00032037,1750,2023
ASN00032040,1750,2024
ASN00032061,1965,1982
ASN00032078,1968,2018
ASN00032141,1980,2021
ASN00033001,1892,1985
ASN00033002,1750,2023
ASN00033007,1907,1987
ASN00033013,1750,2023
ASN00033045,1750,2023
ASN00033046,1889,1950
ASN00033047,1908,2005
ASN00033058,1939,1987
ASN00033065,1938,2012
ASN00033077,1967,1986
ASN00033090,1965,1993
ASN00033106,1750,2023
ASN00033119,1750,2024
ASN00033195,1750,2023
ASN00033210,1750,2023
ASN00033247,1750,2023
ASN00033255,1985,2002
ASN00033257,1987,2015
ASN00033294,1750,2023
ASN00033295,1750,2023
ASN00033307,1750,2023
ASN00033308,1750,2023
ASN00034002,1893,1992
ASN00034038,1986,2012
ASN00034084,1750,2024
ASN00035019,1910,2011
ASN00035027,1889,1992
ASN00035059,1987,2010
ASN00035065,1750,2023
ASN00035069,1750,2023
ASN00035070,1750,2023
ASN00035149,1968,2010
ASN00035264,1750,2023
ASN00036007,1750,2024
ASN00036026,1750,2023
ASN00036030,1896,1973
ASN00036031,1750,2024
ASN00036034,1750,2023
ASN00036047,1965,1985
ASN00036143,1957,2001
ASN00036167,1949,2013
ASN00037010,1750,2024
ASN00037034,1750,2023
ASN00037036,1750,2023
ASN00037039,1750,2024
ASN00037043,1938,2012
ASN00037051,1938,2012
ASN00038000,1750,2023
ASN00038002,1954,2005
ASN00038003,1888,2023
ASN00038024,1931,2014
ASN00038026,1750,2024
ASN00039004,1966,2012
ASN00039006,1927,1996
ASN00039014,1953,1979
ASN00039015,1892,1990
ASN00039018,1913,1986
ASN00039023,1936,1987
ASN00039025,1907,1975
ASN00039039,1893,2009
ASN00039057,1950,1988
ASN00039059,1750,2023
ASN00039066,1750,2024
ASN00039069,1913,1992
ASN00039083,1750,2024
ASN00039085,1907,2023
ASN00039089,1750,2023
ASN00039104,1962,2023
ASN00039122,1962,2007
ASN00039123,1750,2024
ASN00039128,1750,2024
ASN00039130,1965,1977
ASN00039171,1970,1997
ASN00039314,1750,2023
ASN00039322,1750,2023
ASN00039326,1750,2023
ASN00040004,1750,2024
